ID,Project ID,Controller,Module,IOChannel,SoftwareTag,PointDescription,InstallCheck1,InstallCheck2,InstallCheck3,CommCheck1,CommCheck2,Notes
521736,34,MSB3CH-MB-CL-01-PM,NA,Van,MSB3CH-MB-CL-01-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
521737,34,MSB3CH-MB-CL-01-PM,NA,Vbc,MSB3CH-MB-CL-01-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
521738,34,MSB3CH-MB-CL-01-PM,NA,Vbn,MSB3CH-MB-CL-01-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
521739,34,MSB3CH-MB-CL-01-PM,NA,Vca,MSB3CH-MB-CL-01-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
521740,34,MSB3CH-MB-CL-01-PM,NA,Vcn,MSB3CH-MB-CL-01-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
521741,34,MSB3Incomer Operation Critical Bus-CB,LV Gateway,CbSts,MSB3Incomer Operation Critical Bus-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521742,34,MSB3Incomer Operation Critical Bus-CB,LV Gateway,CbTrip,MSB3Incomer Operation Critical Bus-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
472500,34,MSB3IncomerOCB-CB,LV Gateway,CbSts,MSB3IncomerOCB-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
472501,34,MSB3IncomerOCB-CB,LV Gateway,CbTrip,MSB3IncomerOCB-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521743,34,MSB3MainIncomer-PM,NA,ActiveEngy,MSB3MainIncomer-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
521744,34,MSB3MainIncomer-PM,NA,AppEngy,MSB3MainIncomer-PM_AppEngy,Apparent Energy kVA,Pass,Pass,Pass,Pass,Pass,
521745,34,MSB3MainIncomer-PM,NA,Hz,MSB3MainIncomer-PM_Hz,Frequency,Pass,Pass,Pass,Pass,Pass,
521746,34,MSB3MainIncomer-PM,NA,Ib,MSB3MainIncomer-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
521747,34,MSB3MainIncomer-PM,NA,Ic,MSB3MainIncomer-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
521748,34,MSB3MainIncomer-PM,NA,In,MSB3MainIncomer-PM_In,Phase N Current Amps,Pass,Pass,Pass,Pass,Pass,
521749,34,MSB3MainIncomer-PM,NA,la,MSB3MainIncomer-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
521750,34,MSB3MainIncomer-PM,NA,PDemPk,MSB3MainIncomer-PM_PDemPk,Peak Demand Power (kW),Pass,Pass,Pass,Pass,Pass,
521751,34,MSB3MainIncomer-PM,NA,PF,MSB3MainIncomer-PM_PF,Power Factor,Pass,Pass,Pass,Pass,Pass,
521752,34,MSB3MainIncomer-PM,NA,Ptot,MSB3MainIncomer-PM_Ptot,Total Power (kW),Pass,Pass,Pass,Pass,Pass,
521753,34,MSB3MainIncomer-PM,NA,Qtot,MSB3MainIncomer-PM_Qtot,Reactive Power kVar,Pass,Pass,Pass,Pass,Pass,
521754,34,MSB3MainIncomer-PM,NA,RectiveEngy,MSB3MainIncomer-PM_RectiveEngy,Reactive Energy kVarh,Pass,Pass,Pass,Pass,Pass,
521755,34,MSB3MainIncomer-PM,NA,Stot,MSB3MainIncomer-PM_Stot,Apparent Power kVA,Pass,Pass,Pass,Pass,Pass,
521756,34,MSB3MainIncomer-PM,NA,ThdPhTot,MSB3MainIncomer-PM_ThdPhTot,Total Harmonic Distortion Total,Pass,Pass,Pass,Pass,Pass,
521757,34,MSB3MainIncomer-PM,NA,Vab,MSB3MainIncomer-PM_Vab,Phase-Phase A-B Voltage,Pass,Pass,Pass,Pass,Pass,
521758,34,MSB3MainIncomer-PM,NA,Van,MSB3MainIncomer-PM_Van,Phase-Neutral A-N Voltage,Pass,Pass,Pass,Pass,Pass,
521759,34,MSB3MainIncomer-PM,NA,Vbc,MSB3MainIncomer-PM_Vbc,Phase-Phase B-C Voltage,Pass,Pass,Pass,Pass,Pass,
521760,34,MSB3MainIncomer-PM,NA,Vbn,MSB3MainIncomer-PM_Vbn,Phase-Neutral B-N Voltage,Pass,Pass,Pass,Pass,Pass,
521761,34,MSB3MainIncomer-PM,NA,Vca,MSB3MainIncomer-PM_Vca,Phase-Phase C-A Voltage,Pass,Pass,Pass,Pass,Pass,
521762,34,MSB3MainIncomer-PM,NA,Vcn,MSB3MainIncomer-PM_Vcn,Phase-Neutral C-N Voltage,Pass,Pass,Pass,Pass,Pass,
521763,34,MSB3MaterialHoistB2toB3-CB,LV Gateway,CbSts,MSB3MaterialHoistB2toB3-CB_CbSts,Circuit Breaker Status,Pass,Pass,Pass,Pass,Pass,
521764,34,MSB3MaterialHoistB2toB3-CB,LV Gateway,CbTrip,MSB3MaterialHoistB2toB3-CB_CbTrip,Circuit Breaker Trip,Pass,Pass,Pass,Pass,Pass,
521765,34,MSB3MaterialHoistB2toB3-PM,NA,ActiveEngy,MSB3MaterialHoistB2toB3-PM_ActiveEngy,Active Energy kWh,Pass,Pass,Pass,Pass,Pass,
521766,34,MSB3MaterialHoistB2toB3-PM,NA,Ib,MSB3MaterialHoistB2toB3-PM_Ib,Phase B Current Amps,Pass,Pass,Pass,Pass,Pass,
521767,34,MSB3MaterialHoistB2toB3-PM,NA,Ic,MSB3MaterialHoistB2toB3-PM_Ic,Phase C Current Amps,Pass,Pass,Pass,Pass,Pass,
521768,34,MSB3MaterialHoistB2toB3-PM,NA,la,MSB3MaterialHoistB2toB3-PM_la,Phase A Current Amps,Pass,Pass,Pass,Pass,Pass,
